feature_A,feature_B,feature_C,feature_D,feature_E,feature_F,feature_G,feature_H,feature_I,feature_J,feature_K,feature_L,feature_M,feature_M,feature_O,feature_P,feature_Q,feature_R,feature_S,feature_T,feature_U,feature_V
2022-11-26T00:00:00,27,30.1,24,83.68,0.3,100,rain,0,0,4,0.3,0,1011,26.8,10,0,,0,10,"Rain, Partially cloudy",rain
2022-11-26T01:00:00,27,30,24,84.04,0,0,,0,0,3.2,0,0,1011,26.8,10,0,,0,10,Partially cloudy,partly-cloudy-night
2022-11-26T02:00:00,27,29.6,23,79.12,0,0,,0,0,3.2,3.3,0,1010.9,26.8,10,0,,0,10,Partially cloudy,partly-cloudy-night
2022-11-26T03:00:00,26.9,29.9,24,84.4,0,0,,0,0,4.7,3.3,0,1010,25,9.9,0,,0,10,Partially cloudy,partly-cloudy-night
2022-11-26T04:00:00,26,26,24,88.75,0.9,100,rain,0,0,5,0.1,0,1009.9,25,9.9,0,,0,10,"Rain, Partially cloudy",rain
2022-11-26T05:00:00,26,26,24,88.75,2,100,rain,0,0,5.8,0.1,0,1009,25,9.8,0,,0,10,"Rain, Partially cloudy",rain
2022-11-26T06:00:00,26,26,24,88.75,0.5,100,rain,0,0,4.3,0,0,1009.9,25,9.9,0,,0,10,"Rain, Partially cloudy",rain
2022-11-26T07:00:00,26,26,23.9,88.37,0,0,,0,0,4,1.9,72.5,1010,25,9.9,0,,0,10,Partially cloudy,partly-cloudy-night
2022-11-26T08:00:00,26,26,24,88.75,0,0,,0,0,3.6,0.1,0,1010.9,26.8,10,61,0.2,1,10,Partially cloudy,partly-cloudy-day
2022-11-26T09:00:00,27.9,31.8,24,78.91,0,0,,0,0,4,3.5,140.3,1011.9,25,10,280,1,3,30,Partially cloudy,partly-cloudy-day
2022-11-26T10:00:00,30,34.9,23.9,69.98,0.1,100,rain,0,0,8.6,7.4,163.8,1011.9,25,10,443,1.6,4,30,"Rain, Partially cloudy",rain
2022-11-26T11:00:00,31,36.4,24,66.37,0,0,,0,0,10.1,8.9,160,1011,25,10,645,2.3,6,30,Partially cloudy,partly-cloudy-day
2022-11-26T12:00:00,31.9,37.7,24,62.96,0,0,,0,0,9,5.1,150,1011,26.8,10,776,2.8,8,30,Partially cloudy,partly-cloudy-day
